operation_id,date,region,site,revenue,target_revenue,order_volume,operating_cost,downtime_minutes,maintenance_cost,csat_score
OP-00043,2026-03-12,North,NO-03,11351.73,12197.54,92,6033.19,8,422.32,87
OP-00044,2026-03-12,North,NO-04,7798.15,8627.53,74,7290.10,9,583.20,93
OP-00045,2026-03-12,North,NO-05,11450.44,7735.03,92,6410.26,12,448.71,96
OP-00046,2026-03-13,North,NO-01,9772.36,12296.71,87,6410.26,12,448.71,86
OP-00047,2026-03-13,North,NO-02,12141.42,10412.53,109,5718.96,9,457.51,92
OP-00048,2026-03-13,North,NO-03,11055.60,9619.20,72,7855.71,11,864.12,87
OP-00049,2026-03-13,North,NO-04,7798.15,8825.86,113,7038.72,12,774.25,76
OP-00050,2026-03-13,North,NO-05,11746.58,11503.37,92,7541.48,12,678.73,77
OP-00051,2026-03-16,North,NO-01,12141.42,12098.37,82,6661.64,8,399.69,78
OP-00052,2026-03-16,North,NO-02,7798.15,8627.53,102,6158.88,9,492.71,84
OP-00053,2026-03-16,North,NO-03,7798.15,8330.03,81,5153.35,9,257.66,94
OP-00054,2026-03-16,North,NO-04,10364.63,10015.87,93,5970.34,12,716.44,79
OP-00055,2026-03-16,North,NO-05,8587.83,9718.37,101,6473.11,7,388.38,92
OP-00056,2026-03-17,North,NO-01,8686.54,7635.86,114,6975.87,8,697.58,85
OP-00057,2026-03-17,North,NO-02,8094.28,10511.70,114,7038.72,9,422.32,80
OP-00058,2026-03-17,North,NO-03,10167.20,9619.20,89,6033.19,11,663.65,85
OP-00059,2026-03-17,North,NO-04,7699.44,8330.03,89,7541.48,9,904.97,93
OP-00060,2026-03-17,North,NO-05,7502.01,12395.87,73,5907.50,11,354.45,84
OP-00061,2026-03-18,North,NO-01,12240.13,10809.20,99,6535.95,8,522.87,85
OP-00062,2026-03-18,North,NO-02,10265.91,11800.87,83,7101.56,8,497.10,95
OP-00063,2026-03-18,North,NO-03,10364.63,10214.20,99,6975.87,8,627.82,80
OP-00064,2026-03-18,North,NO-04,9476.23,11007.54,113,6158.88,8,615.88,84
OP-00065,2026-03-18,North,NO-05,11154.31,10809.20,108,4901.96,10,245.09,87
OP-00066,2026-03-19,North,NO-01,11253.02,11503.37,99,5216.19,9,312.97,88
OP-00067,2026-03-19,North,NO-02,12141.42,10214.20,77,7101.56,10,639.14,78
OP-00068,2026-03-19,North,NO-03,7699.44,12296.71,95,5153.35,8,309.20,81
OP-00069,2026-03-19,North,NO-04,7896.86,10610.87,92,7227.25,10,794.99,82
OP-00070,2026-03-19,North,NO-05,11253.02,8726.70,76,5781.80,12,404.72,91
OP-00071,2026-03-20,North,NO-01,9476.23,9123.36,77,5341.88,7,641.02,91
OP-00072,2026-03-20,North,NO-02,9476.23,8330.03,75,5467.58,10,437.40,91
OP-00073,2026-03-20,North,NO-03,10463.34,9321.70,111,5970.34,8,298.51,91
OP-00074,2026-03-20,North,NO-04,7798.15,11205.87,104,5216.19,12,417.29,88
OP-00075,2026-03-20,North,NO-05,10068.49,12098.37,87,6158.88,12,431.12,86
OP-00076,2026-03-23,North,NO-01,8785.25,10809.20,75,5530.42,8,663.65,90
OP-00077,2026-03-23,North,NO-02,10068.49,7735.03,77,6661.64,8,333.08,87
OP-00078,2026-03-23,North,NO-03,9871.07,12197.54,91,4901.96,9,392.15,92
OP-00079,2026-03-23,North,NO-04,12338.84,10511.70,114,7038.72,8,351.93,89
OP-00080,2026-03-23,North,NO-05,9377.52,10511.70,75,7290.10,9,729.01,80
OP-00081,2026-03-24,North,NO-01,11351.73,7933.36,100,4839.12,12,532.30,91
OP-00082,2026-03-24,North,NO-02,10858.18,9520.03,70,6661.64,8,799.39,83
OP-00083,2026-03-24,North,NO-03,8489.12,12395.87,75,6975.87,10,627.82,89
OP-00084,2026-03-24,North,NO-04,7403.30,11305.04,73,4901.96,10,539.21,80
OP-00085,2026-03-24,North,NO-05,12042.71,10412.53,114,6473.11,11,323.65,96
OP-00086,2026-03-25,North,NO-01,7600.72,9817.53,88,5844.65,11,409.12,92
OP-00087,2026-03-25,North,NO-02,10660.76,8429.20,110,6033.19,12,301.65,87
OP-00088,2026-03-25,North,NO-03,12042.71,9321.70,94,5718.96,8,457.51,80
OP-00089,2026-03-25,North,NO-04,10167.20,8032.53,101,5027.66,12,502.76,84
OP-00090,2026-03-25, north ,NO-05,7896.86,9817.53,81,6033.19,10,663.65,85
OP-00091,2026-03-26,North,NO-01,12141.42,7635.86,70,6158.88,10,307.94,82
OP-00092,2026-03-26,North,NO-02,8390.41,9222.53,99,5467.58,9,492.08,87
OP-00093,2026-03-26,North,NO-03,11351.73,8032.53,82,5781.80,12,578.18,82
OP-00094,2026-03-26,North,NO-04,11351.73,7933.36,92,6724.49,8,605.20,85
OP-00095,2026-03-26,North,NO-05,8192.99,10015.87,72,6347.41,10,761.68,88
OP-00096,2026-03-27,North,NO-01,11055.60,11999.21,110,7541.48,12,678.73,90
OP-00097,2026-03-27,North,NO-02,7699.44,12296.71,75,6158.88,9,431.12,76
OP-00098,2026-03-27,North,NO-03,11450.44,9619.20,114,6221.72,9,559.95,93
OP-00099,2026-03-27,North,NO-04,12338.84,9123.36,80,7667.17,8,843.38,92
OP-00100,2026-03-27,North,NO-05,11055.60,8429.20,114,7290.10,8,583.20,92
OP-00101,2026-03-02,South,SO-01,7630.74,12276.77,87,5014.27,10,300.85,92
OP-00102,2026-03-02,South,SO-02,10381.35,10924.24,90,5942.84,10,415.99,78
OP-00103,2026-03-02,South,SO-03,10913.73,12588.89,97,5633.32,8,337.99,80
OP-00104,2026-03-02,South,SO-04,9937.70,8843.43,104,6190.46,9,619.04,87
OP-00105,2026-03-02,South,SO-05,6743.44,8011.11,97,6561.89,10,656.18,90
OP-00106,2026-03-03,South,SO-01,8695.49,12276.77,91,6499.98,7,779.99,85
OP-00107,2026-03-03,South,SO-02,9227.87,13005.05,86,6561.89,9,459.33,80
OP-00108,2026-03-03,South,SO-03,7896.92,10195.96,96,4766.66,11,333.66,84
OP-00109,2026-03-03,South,SO-04,9227.87,10508.08,82,7242.84,11,651.85,87
OP-00110,2026-03-03,South,SO-05,9405.33,8843.43,91,6809.51,8,408.57,76
OP-00111,2026-03-04,South,SO-01,7187.09,9259.60,75,5880.94,10,646.90,89
OP-00112,2026-03-04,South,SO-02,10558.81,12588.89,112,4642.85,11,557.14,82
OP-00113,2026-03-04,South,SO-03,9405.32,12588.89,109,6623.79,11,397.42,76
OP-00114,2026-03-04,South,SO-04,8695.49,7803.03,72,7366.65,8,662.99,76
OP-00115,2026-03-04,South,SO-05,10913.73,9467.68,77,7552.36,10,453.14,92
OP-00116,2026-03-05,South,SO-01,6743.44,11236.36,81,6376.18,12,573.85,86
OP-00117,2026-03-05,South,SO-02,9227.87,8219.19,78,6871.41,9,343.57,88
OP-00118,2026-03-05,South,SO-03,9937.70,8635.35,117,5571.42,8,668.57,85
OP-00119,2026-03-05,South,SO-04,8074.38,8323.23,102,4766.66,11,571.99,93
OP-00120,2026-03-05,South,SO-05,7630.74,9675.76,115,7057.13,10,846.85,88
OP-00121,2026-03-06,South,SO-01,9671.51,11652.53,86,7676.17,7,921.14,93
OP-00122,2026-03-06,South,SO-02,9582.78,10091.92,90,4952.37,8,594.28,83
OP-00123,2026-03-06,South,SO-03,11091.19,7803.03,112,7180.94,8,574.47,77
OP-00124,2026-03-06,South,SO-04,7542.01,11236.36,87,7676.17,8,844.37,95
OP-00125,2026-03-06,South,SO-05,11002.46,8531.31,104,6871.41,8,343.57,95
OP-00126,2026-03-09,South,SO-01,11091.19,11236.36,106,5633.32,9,281.66,81
OP-00127,2026-03-09,South,SO-02,10470.08,8011.11,76,6190.46,8,557.14,92
OP-00128,2026-03-09,South,SO-03,6654.71,8843.43,100,6438.08,8,386.28,79
OP-00129,2026-03-09,South,SO-04,10381.35,11340.40,117,4642.85,11,232.14,76
OP-00130,2026-03-09,South,SO-05,8872.95,11652.53,90,5757.13,7,402.99,76
OP-00131,2026-03-10,South,SO-01,11091.19,8635.35,114,6004.75,7,540.42,78
OP-00132,2026-03-10,South,SO-02,9227.87,10508.08,95,4766.66,11,524.33,76
OP-00133,2026-03-10,South,SO-03,7453.28,9675.76,86,5138.08,7,616.56,96
OP-00134,2026-03-10,South,SO-04,7453.28,8115.15,88,6623.79,9,596.14,78
OP-00135,2026-03-10,South,SO-05,10825.00,8323.23,88,6995.22,9,559.61,91
OP-00136,2026-03-11,South,SO-01,6743.44,10404.04,80,5261.89,8,420.95,77
OP-00137,2026-03-11,South,SO-02,9405.32,12901.01,100,5880.94,10,470.47,83
OP-00138,2026-03-11,South,SO-03,8695.49,13005.05,77,6004.75,11,420.33,83
OP-00139,2026-03-11,South,SO-04,8695.49,11028.28,97,7180.94,9,574.47,85
OP-00140,2026-03-11,South,SO-05,8872.95,9675.76,75,4952.37,9,445.71,78
OP-00141,2026-03-12,South,SO-01,10292.62,8115.15,113,7614.27,7,380.71,93
OP-00142,2026-03-12,South,SO-02,7542.01,9467.68,88,5695.22,10,683.42,92
OP-00143,2026-03-12,South,SO-03,8606.76,9051.52,109,7738.08,7,773.80,86
OP-00144,2026-03-12,South,SO-04,9227.87,10716.16,81,6871.41,7,549.71,81
OP-00145,2026-03-12,South,SO-05,6654.71,10404.04,90,6128.56,8,306.42,77
OP-00146,2026-03-13,South,SO-01,8340.57,10612.12,71,5199.99,12,519.99,76
OP-00147,2026-03-13,South,SO-02,9671.51,10195.96,75,4704.75,11,564.57,83
OP-00148,2026-03-13,South,SO-03,10558.81,7907.07,91,6314.27,11,694.56,89
OP-00149,2026-03-13,South,SO-04,9139.14,11548.49,118,5509.51,10,385.66,94
OP-00150,2026-03-13,South,SO-05,8606.76,12796.97,100,6995.22,7,769.47,88
OP-00151,2026-03-16,South,SO-01,7009.63,12380.81,116,7490.46,8,599.23,91
OP-00152,2026-03-16,South,SO-02,7187.09,12484.85,99,6128.56,8,428.99,80
OP-00153,2026-03-16,South,SO-03,9227.87,12796.97,77,5819.03,9,407.33,90
OP-00154,2026-03-16,South,SO-04,9760.24,9051.52,90,5509.51,10,495.85,76
OP-00155,2026-03-16,South,SO-05,7896.92,7907.07,97,6314.27,10,378.85,91
OP-00156,2026-03-17,South,SO-01,8163.11,12276.77,99,4828.56,8,579.42,89
OP-00157,2026-03-17,South,SO-02,7542.01,11340.40,100,6128.56,10,735.42,83
OP-00158,2026-03-17,South,SO-03,10736.27,8531.31,102,7676.17,11,690.85,78
OP-00159,2026-03-17,South,SO-04,7630.74,9259.60,118,5757.13,7,460.57,93
OP-00160,2026-03-17,South,SO-05,9582.78,8635.35,85,6252.37,11,375.14,92
OP-00161,2026-03-18,South,SO-01,8961.68,12380.81,103,4828.56,8,386.28,92
OP-00162,2026-03-18,South,SO-02,10292.62,12588.89,72,6190.46,11,680.95,84
OP-00163,2026-03-18,South,SO-03,7098.36,10508.08,101,7490.46,7,674.14,95
OP-00164,2026-03-18,South,SO-04,11091.19,11756.57,101,7552.36,12,906.28,84
OP-00165,2026-03-18,South,SO-05,8429.30,11964.65,75,5323.80,10,319.42,96
OP-00166,2026-03-19,South,SO-01,10470.08,9571.72,73,7057.13,9,493.99,85
OP-00167,2026-03-19,South,SO-02,7985.65,8843.43,87,5076.18,11,507.61,95
OP-00168,2026-03-19,South,SO-03,9050.41,11756.57,71,6499.98,12,649.99,77
OP-00169,2026-03-19,South,SO-04,8518.03,10195.96,105,6252.37,11,562.71,88
OP-00170,2026-03-19,South,SO-05,6743.44,11236.36,88,7676.17,8,921.14,87
OP-00171,2026-03-20,South,SO-01,9671.51,10091.92,106,7614.27,7,456.85,94
OP-00172,2026-03-20,South,SO-02,10292.62,8115.15,82,7490.46,9,749.04,95
OP-00173,2026-03-20,South,SO-03,7009.63,11132.32,114,7428.55,12,445.71,94
OP-00174,2026-03-20,South,SO-04,7364.55,13005.05,105,7676.17,11,383.80,76
OP-00175,2026-03-20,South,SO-05,9937.70,10091.92,105,4704.75,7,235.23,84
OP-00176,2026-03-23,South,SO-01,9848.97,9675.76,90,6376.18,11,573.85,93
OP-00177,2026-03-23,South,SO-02,8872.95,9051.52,111,6004.75,8,300.23,86
OP-00178,2026-03-23,South,SO-03,9671.51,12276.77,103,4704.75,9,329.33,94
OP-00179,2026-03-23,South,SO-04,10115.16,9987.88,84,7490.46,10,674.14,77
OP-00180,2026-03-23,South,SO-05,9582.78,11340.40,80,5323.80,8,319.42,80
OP-00181,2026-03-24,South,SO-01,6743.44,10924.24,97,4890.46,9,391.23,86
OP-00182,2026-03-24,South,SO-02,8251.84,8011.11,115,7057.13,9,705.71,83
OP-00183,2026-03-24,South,SO-03,7896.92,12901.01,119,6128.56,12,490.28,91
OP-00184,2026-03-24,South,SO-04,10825.00,9051.52,91,5138.08,7,308.28,76
OP-00185,2026-03-24,South,SO-05,8784.22,8739.39,110,7180.94,8,646.28,76
OP-00186,2026-03-25,South,SO-01,7275.82,11340.40,105,5757.13,9,345.42,86
OP-00187,2026-03-25,South,SO-02,10647.54,8219.19,71,4952.37,8,396.18,95
OP-00188,2026-03-25,South,SO-03,7808.19,9467.68,88,5261.89,10,473.57,81
OP-00189,2026-03-25,South,SO-04,9848.97,11964.65,84,4704.75,11,517.52,95
OP-00190,2026-03-25,South,SO-05,10736.27,8011.11,100,6252.37,8,687.76,88
OP-00191,2026-03-26,South,SO-01,10115.16,12380.81,103,6376.18,8,446.33,91
OP-00192,2026-03-26,South,SO-02,10470.08,10612.12,93,6933.32,10,831.99,94
OP-00193,2026-03-26,South,SO-03,8784.22,11548.48,89,5199.99,8,467.99,80
OP-00194,2026-03-26,South,SO-04,11091.19,9571.72,96,7242.84,7,579.42,83
OP-00195,2026-03-26,South,SO-05,7719.46,9259.60,118,7676.17,9,767.61,93
OP-00196,2026-03-27,South,SO-01,9937.70,8011.11,117,7180.94,11,574.47,85
OP-00197,2026-03-27,South,SO-02,7542.01,8323.23,93,4828.56,8,531.14,85
OP-00198,2026-03-27,South,SO-03,9760.24,11652.53,75,7738.08,10,773.80,92
OP-00199,2026-03-27,South,SO-04,11002.46,8011.11,81,7304.74,11,803.52,93
OP-00200,2026-03-27,South,SO-05,10115.16,13005.05,103,6066.65,9,545.99,88
OP-00201,2026-03-02,East,EA-01,11294.96,11544.10,71,6837.28,12,820.47,96
OP-00202,2026-03-02,East,EA-02,9241.33,12574.83,118,7795.78,8,857.53,84
OP-00203,2026-03-02,East,EA-03,10454.84,8348.86,82,7412.38,8,518.86,92
OP-00204,2026-03-02,East,EA-04,8961.29,8658.08,97,6070.49,9,546.34,84
OP-00205,2026-03-02,East,EA-05,7747.78,9791.87,111,7540.18,11,603.21,91
OP-00206,2026-03-03,East,EA-01,9054.64,8039.64,89,7987.48,8,559.12,85
OP-00207,2026-03-03,East,EA-02,8681.25,12884.04,98,4984.19,10,548.26,91
OP-00208,2026-03-03,East,EA-03,7841.13,12059.47,92,5750.99,10,287.54,83
OP-00209,2026-03-03,East,EA-04,11014.92,8142.72,75,6389.98,8,638.99,80
OP-00210,2026-03-03,East,EA-05,7654.44,12368.68,102,5623.19,12,281.15,89
OP-00211,2026-03-04,East,EA-01,9241.33,12471.75,102,5942.69,11,297.13,95
OP-00212,2026-03-04,East,EA-02,9428.02,12059.47,86,5111.99,8,357.83,96
OP-00213,2026-03-04,East,EA-03,7747.78,12780.97,109,6965.08,9,626.85,84
OP-00214,2026-03-04,East,EA-04,7561.09,8658.08,108,7859.68,12,628.77,89
OP-00215,2026-03-04,East,EA-05,9147.98,10822.60,106,5942.69,8,713.12,95
OP-00216,2026-03-05,East,EA-01,8214.52,11441.03,98,4856.39,11,339.94,76
OP-00217,2026-03-05,East,EA-02,10454.84,9585.73,75,7859.68,12,943.16,76
OP-00218,2026-03-05,East,EA-03,11294.96,9791.87,96,7348.48,8,808.33,86
OP-00219,2026-03-05,East,EA-04,8961.29,11131.81,106,6326.08,10,506.08,95
OP-00220,2026-03-05,East,EA-05,7187.70,10513.38,105,6389.98,11,766.79,79
OP-00221,2026-03-06,East,EA-01,7841.13,8142.72,94,5111.99,9,460.07,88
OP-00222,2026-03-06,East,EA-02,11294.96,11853.32,83,6517.78,10,325.88,95
OP-00223,2026-03-06,East,EA-03,11014.92,11131.81,96,6006.59,8,420.46,81
OP-00224,2026-03-06,East,EA-04,9241.33,11853.32,81,5687.09,12,682.45,81
OP-00225,2026-03-06,East,EA-05,11575.00,12780.97,73,5303.69,12,424.29,95
OP-00226,2026-03-09,East,EA-01,11668.35,11956.39,90,7284.58,8,582.76,80
OP-00227,2026-03-09,East,EA-02,8027.82,12368.68,71,7987.48,10,798.74,79
OP-00228,2026-03-09,East,EA-03,11108.27,11956.39,112,7604.08,10,608.32,79
OP-00229,2026-03-09,East,EA-04,9147.98,10307.24,108,5495.39,10,604.49,90
OP-00230,2026-03-09,East,EA-05,9894.76,9688.80,111,5175.89,7,517.58,81
OP-00231,2026-03-10,East,EA-01,7001.01,8555.01,118,6198.29,10,495.86,89
OP-00232,2026-03-10,East,EA-02,7187.70,11853.32,96,6006.59,8,420.46,86
OP-00233,2026-03-10,East,EA-03,7467.74,9070.37,92,7667.98,10,383.39,76
OP-00234,2026-03-10,East,EA-04,7841.13,12884.04,103,5367.59,12,644.11,90
OP-00235,2026-03-10,East,EA-05,10174.80,10410.31,76,6709.48,11,536.75,92
OP-00236,2026-03-11,East,EA-01,11014.92,11131.81,79,7220.68,12,794.27,95
OP-00237,2026-03-11,East,EA-02,10921.57,12471.75,90,7348.48,10,808.33,92
OP-00238,2026-03-11,East,EA-03,10921.57,11028.74,104,7795.78,12,779.57,91
OP-00239,2026-03-11,East,EA-04,7934.48,11956.39,111,7156.78,10,357.83,95
OP-00240,2026-03-11,East,EA-05,10641.53,7730.43,90,5878.79,9,352.72,92
OP-00241,2026-03-12,East,EA-01,9054.64,8245.79,110,6517.78,11,456.24,85
OP-00242,2026-03-12,East,EA-02,10361.49,10616.45,108,7028.98,8,843.47,88
OP-00243,2026-03-12,East,EA-03,8027.82,11028.74,80,6517.78,11,782.13,95
OP-00244,2026-03-12,East,EA-04,8401.21,10616.45,112,5878.79,11,529.09,84
OP-00245,2026-03-12,East,EA-05,7467.74,8864.22,79,6070.49,10,364.22,80
OP-00246,2026-03-13,East,EA-01,11201.61,10101.09,78,7220.68,11,649.86,96
OP-00247,2026-03-13,East,EA-02,8307.86,9070.37,96,5878.79,11,646.66,81
OP-00248,2026-03-13,East,EA-03,10268.15,12677.90,108,5814.89,8,697.78,83
OP-00249,2026-03-13,East,EA-04,7467.74,10101.09,106,6262.18,9,563.59,82
OP-00250,2026-03-13,East,EA-05,7747.78,9688.80,104,6198.28,8,681.81,93
OP-00251,2026-03-16,East,EA-01,11294.96,12368.68,105,6326.08,11,569.34,90
OP-00252,2026-03-16,East,EA-02,10641.53,12574.83,93,4984.19,12,348.89,86
OP-00253,2026-03-16,East,EA-03,9988.10,9688.80,74,7412.38,10,592.99,93
OP-00254,2026-03-16,East,EA-04,9054.64,9482.66,115,5750.99,8,517.58,96
OP-00255,2026-03-16,East,EA-05,8774.60,8555.01,73,5495.39,8,549.53,78
OP-00256,2026-03-17,East,EA-01,10361.49,9173.44,98,6198.28,10,681.81,93
OP-00257,2026-03-17,East,EA-02,9988.10,9173.44,83,6006.59,8,720.79,91
OP-00258,2026-03-17,East,EA-03,7374.39,7730.43,75,6453.88,11,451.77,77
OP-00259,2026-03-17,East,EA-04,9521.37,8245.79,81,7348.48,8,881.81,95
OP-00260,2026-03-17,East,EA-05,9988.10,9276.51,107,6709.48,10,805.13,89
OP-00261,2026-03-18,EAST,EA-01,8121.17,11441.03,107,5367.59,9,429.40,90
OP-00262,2026-03-18,East,EA-02,11575.00,10822.60,96,7412.38,11,592.99,81
OP-00263,2026-03-18,East,EA-03,8214.52,9688.80,90,6134.39,10,490.75,85
OP-00264,2026-03-18,East,EA-04,8401.21,12059.46,113,7348.48,11,587.87,89
OP-00265,2026-03-18,East,EA-05,10454.84,9173.44,94,5942.69,7,356.56,91
OP-00266,2026-03-19,East,EA-01,8774.60,9585.73,115,7220.68,10,361.03,83
OP-00267,2026-03-19,East,EA-02,7001.01,10410.31,103,7412.38,9,370.61,82
OP-00268,2026-03-19,East,EA-03,7281.05,8039.64,94,7667.98,11,690.11,86
OP-00269,2026-03-19,East,EA-04,9801.41,12059.46,108,6645.58,7,598.10,87
OP-00270,2026-03-19,East,EA-05,11108.27,10101.09,94,7412.38,9,889.48,90
OP-00271,2026-03-20,East,EA-01,8681.25,7833.50,102,6709.48,11,402.56,85
OP-00272,2026-03-20,East,EA-02,10454.84,10307.24,98,6517.78,12,521.42,81
OP-00273,2026-03-20,East,EA-03,8121.17,8967.29,74,7731.88,10,773.18,92
OP-00274,2026-03-20,East,EA-04,7094.35,10925.67,117,4792.49,8,575.09,84
OP-00275,2026-03-20,East,EA-05,9988.10,8348.86,85,6262.18,10,688.83,92
OP-00276,2026-03-23,East,EA-01,7934.48,11131.81,108,5750.99,12,345.05,83
OP-00277,2026-03-23,East,EA-02,8214.52,7833.50,113,5239.79,12,261.98,95
OP-00278,2026-03-23,East,EA-03,7094.35,11028.74,77,6262.18,8,751.46,81
OP-00279,2026-03-23,East,EA-04,8214.52,12780.97,104,5942.69,8,653.69,87
OP-00280,2026-03-23,East,EA-05,7094.35,11337.96,105,7987.48,11,638.99,81
OP-00281,2026-03-24,East,EA-01,10174.80,9585.73,110,5623.19,8,449.85,85
OP-00282,2026-03-24,East,EA-02,11108.27,11131.81,84,7859.68,11,628.77,84
OP-00283,2026-03-24,East,EA-03,9334.68,9276.51,81,7604.08,7,532.28,94
OP-00284,2026-03-24,East,EA-04,8867.94,8348.86,74,6006.59,9,720.79,88
OP-00285,2026-03-24,East,EA-05,8307.86,12471.75,88,6965.08,11,417.90,96
OP-00286,2026-03-25,East,EA-01,9334.68,12574.83,116,4984.19,8,398.73,96
OP-00287,2026-03-25,East,EA-02,9428.02,10616.45,91,6581.68,12,658.16,80
OP-00288,2026-03-25,East,EA-03,10174.80,8967.29,71,6453.88,9,774.46,95
OP-00289,2026-03-25,East,EA-04,10268.14,8555.01,87,6134.39,10,613.43,87
OP-00290,2026-03-25,East,EA-05,9521.37,10307.24,115,6645.58,10,664.55,77
OP-00291,2026-03-26,East,EA-01,10174.80,9173.44,109,6581.68,12,789.80,79
OP-00292,2026-03-26,East,EA-02,8774.60,11956.39,101,7220.68,9,794.27,76
OP-00293,2026-03-26,East,EA-03,10921.57,9894.95,107,7348.48,11,367.42,91
OP-00294,2026-03-26,East,EA-04,8774.60,11956.39,107,5111.99,12,511.19,76
OP-00295,2026-03-26,East,EA-05,11388.31,9791.87,111,5048.09,10,605.77,81
OP-00296,2026-03-27,East,EA-01,8681.25,11441.03,114,6326.08,12,632.60,80
OP-00297,2026-03-27,East,EA-02,8401.21,10307.24,109,6453.88,11,322.69,84
OP-00298,2026-03-27,East,EA-03,11668.35,8039.64,117,5623.19,12,393.62,96
OP-00299,2026-03-27,East,EA-04,11388.31,8967.29,105,7859.68,12,471.58,95
OP-00300,2026-03-27,East,EA-05,7281.05,12677.90,117,7412.38,8,370.61,79
OP-00301,2026-03-02,West,WE-01,7046.11,8507.91,108,8086.01,12,889.46,79
OP-00302,2026-03-02,West,WE-02,8622.22,12139.33,114,7158.11,9,644.22,87
OP-00303,2026-03-02,West,WE-03,9734.76,12346.84,125,8086.01,9,566.02,85
OP-00304,2026-03-02,West,WE-04,8344.08,11205.53,75,7887.17,11,867.58,96
OP-00305,2026-03-02,West,WE-05,8436.79,12969.37,121,5965.09,13,298.25,86
OP-00306,2026-03-03,West,WE-01,7787.81,11724.31,95,7356.94,12,514.98,76
OP-00307,2026-03-03,West,WE-02,8622.22,8922.93,112,7423.22,12,593.85,87
OP-00308,2026-03-03,West,WE-03,11403.58,9752.96,117,5501.14,13,605.12,89
